# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.07969999e+01	2.48214080e+00
1.07989998e+01	2.26685980e+00
1.08009996e+01	2.04982380e+00
1.08030005e+01	1.72579100e+00
1.08050003e+01	1.84791740e+00
1.08070002e+01	2.39474580e+00
1.08090000e+01	2.77372880e+00
1.08109999e+01	2.90455290e+00
1.08129997e+01	2.94578480e+00
1.08149996e+01	2.87063790e+00
1.08170004e+01	2.94011430e+00
1.08190002e+01	3.16657280e+00
1.08210001e+01	3.05832340e+00
1.08229999e+01	2.91296170e+00
1.08249998e+01	2.54542570e+00
1.08269997e+01	2.09744550e+00
1.08290005e+01	2.34380600e+00
1.08310003e+01	2.79141950e+00
1.08330002e+01	2.83462690e+00
1.08350000e+01	3.02814320e+00
1.08369999e+01	3.50811600e+00
1.08389997e+01	3.88217710e+00
1.08409996e+01	4.02087500e+00
1.08430004e+01	4.01260380e+00
1.08450003e+01	3.96410490e+00
1.08470001e+01	3.81679460e+00
1.08490000e+01	3.65258410e+00
1.08509998e+01	3.42095090e+00
1.08529997e+01	2.84329840e+00
1.08549995e+01	2.51292440e+00
1.08570003e+01	3.03274040e+00
1.08590002e+01	3.63491150e+00
1.08610001e+01	4.01580810e+00
1.08629999e+01	4.22539810e+00
1.08649998e+01	4.34053370e+00
1.08669996e+01	4.41543440e+00
1.08690004e+01	4.47077270e+00
1.08710003e+01	4.47593930e+00
1.08730001e+01	4.47874260e+00
1.08750000e+01	4.53722140e+00
1.08769999e+01	4.54773520e+00
1.08789997e+01	4.53067260e+00
1.08809996e+01	4.47121950e+00
1.08830004e+01	4.17748400e+00
1.08850002e+01	3.63824580e+00
1.08870001e+01	3.58936410e+00
1.08889999e+01	4.09472370e+00
1.08909998e+01	4.53399130e+00
1.08929997e+01	4.70350220e+00
1.08950005e+01	4.77326060e+00
1.08970003e+01	4.78455780e+00
1.08990002e+01	4.76065020e+00
1.09010000e+01	4.80596970e+00
1.09029999e+01	4.86436890e+00
1.09049997e+01	4.89060160e+00
1.09069996e+01	4.89373640e+00
1.09090004e+01	4.85194780e+00
1.09110003e+01	4.69297030e+00
1.09130001e+01	4.64426520e+00
1.09150000e+01	4.79588030e+00
1.09169998e+01	4.79357530e+00
1.09189997e+01	4.56810900e+00
1.09209995e+01	4.37528850e+00
1.09230003e+01	4.61446430e+00
1.09250002e+01	4.84789710e+00
1.09270001e+01	4.90197370e+00
1.09289999e+01	4.83296870e+00
1.09309998e+01	4.65637210e+00
1.09329996e+01	4.67244580e+00
1.09350004e+01	4.84293270e+00
1.09370003e+01	4.89266160e+00
1.09390001e+01	4.88710740e+00
1.09410000e+01	4.86307100e+00
1.09429998e+01	4.78937240e+00
1.09449997e+01	4.53264620e+00
1.09469995e+01	4.27951430e+00
1.09490004e+01	4.52682590e+00
1.09510002e+01	4.71237660e+00
1.09530001e+01	4.71314950e+00
1.09549999e+01	4.59283260e+00
1.09569998e+01	4.34480480e+00
1.09589996e+01	4.23146100e+00
1.09610004e+01	4.22178220e+00
1.09630003e+01	4.15113400e+00
1.09650001e+01	4.05965280e+00
1.09670000e+01	4.21073060e+00
1.09689999e+01	4.38833710e+00
1.09709997e+01	4.40376520e+00
1.09729996e+01	4.34347440e+00
1.09750004e+01	4.28128100e+00
1.09770002e+01	4.22154140e+00
1.09790001e+01	4.14948230e+00
1.09809999e+01	4.05490300e+00
1.09829998e+01	3.95059540e+00
1.09849997e+01	3.83967230e+00
1.09870005e+01	3.72514840e+00
1.09890003e+01	3.60597230e+00
1.09910002e+01	3.48084690e+00
1.09930000e+01	3.34382100e+00
1.09949999e+01	3.16082550e+00
1.09969997e+01	2.98791910e+00
1.09989996e+01	2.82773850e+00
1.10010004e+01	2.62468700e+00
1.10030003e+01	2.36660810e+00
1.10050001e+01	2.05853080e+00
1.10070000e+01	1.70353140e+00
1.10089998e+01	1.34066590e+00
1.10109997e+01	1.15855040e+00
1.10129995e+01	1.31999210e+00
1.10150003e+01	1.69305350e+00
1.10170002e+01	2.04501250e+00
1.10190001e+01	2.34260650e+00
1.10209999e+01	2.59765340e+00
1.10229998e+01	2.79919740e+00
1.10249996e+01	2.94827440e+00
1.10270004e+01	3.13125540e+00
1.10290003e+01	3.34180450e+00
1.10310001e+01	3.51932950e+00
1.10330000e+01	3.67351150e+00
1.10349999e+01	3.79956790e+00
1.10369997e+01	3.90635250e+00
1.10389996e+01	4.00446990e+00
1.10410004e+01	4.09107590e+00
1.10430002e+01	4.18684670e+00
1.10450001e+01	4.27258350e+00
1.10469999e+01	4.31999060e+00
1.10489998e+01	4.33072710e+00
1.10509996e+01	4.41852520e+00
1.10530005e+01	4.53183560e+00
1.10550003e+01	4.59769060e+00
1.10570002e+01	4.65378430e+00
1.10590000e+01	4.71013210e+00
1.10609999e+01	4.74509330e+00
1.10629997e+01	4.74265770e+00
1.10649996e+01	4.70802740e+00
1.10670004e+01	4.61378430e+00
1.10690002e+01	4.37202550e+00
1.10710001e+01	3.86860800e+00
1.10729999e+01	3.56451990e+00
1.10749998e+01	4.12541100e+00
1.10769997e+01	4.66400100e+00
1.10790005e+01	4.86868140e+00
1.10810003e+01	4.88440940e+00
1.10830002e+01	4.77345660e+00
1.10850000e+01	4.86007500e+00
1.10869999e+01	5.03496030e+00
