# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.15049982e+00	8.74307270e-01
5.15150023e+00	9.16132870e-01
5.15250015e+00	9.52249830e-01
5.15350103e+00	9.77213620e-01
5.15450001e+00	9.82851800e-01
5.15549994e+00	9.51191250e-01
5.15649986e+00	9.31364300e-01
5.15749979e+00	9.34235930e-01
5.15850019e+00	1.01098110e+00
5.15950012e+00	1.05935290e+00
5.16050100e+00	1.09153580e+00
5.16149998e+00	1.11103700e+00
5.16249990e+00	1.11920320e+00
5.16349983e+00	1.12862040e+00
5.16450024e+00	1.13631590e+00
5.16550016e+00	1.14585660e+00
5.16650009e+00	1.14239170e+00
5.16750002e+00	1.13249080e+00
5.16849995e+00	1.12452170e+00
5.16949987e+00	1.10813140e+00
5.17049980e+00	1.07351730e+00
5.17150021e+00	1.01701820e+00
5.17250013e+00	9.63828030e-01
5.17350006e+00	9.80324690e-01
5.17449999e+00	1.02892730e+00
5.17549992e+00	1.05318690e+00
5.17649984e+00	1.06184470e+00
5.17749977e+00	1.04977130e+00
5.17850018e+00	1.05946890e+00
5.17950010e+00	1.07867730e+00
5.18050098e+00	1.07765610e+00
5.18149996e+00	1.08208380e+00
5.18249989e+00	1.07727720e+00
5.18349981e+00	1.05392070e+00
5.18450022e+00	1.03028820e+00
5.18550014e+00	1.03155490e+00
5.18650103e+00	1.02923350e+00
5.18750000e+00	1.01663640e+00
5.18849993e+00	9.99616090e-01
5.18949986e+00	9.81594200e-01
5.19049978e+00	9.73957060e-01
5.19150019e+00	9.63542340e-01
5.19250011e+00	9.48326410e-01
5.19350100e+00	9.29837940e-01
5.19449997e+00	9.07526080e-01
5.19549990e+00	8.86689130e-01
5.19649982e+00	8.60286710e-01
5.19750023e+00	8.26298530e-01
5.19850016e+00	7.80398550e-01
5.19950008e+00	7.42737230e-01
5.20050001e+00	7.49794070e-01
5.20149994e+00	7.63334100e-01
5.20249987e+00	7.77964770e-01
5.20349979e+00	8.03371370e-01
5.20450020e+00	8.07037410e-01
5.20550013e+00	7.56821870e-01
5.20650101e+00	6.28302690e-01
5.20749998e+00	6.25037070e-01
5.20849991e+00	7.48611990e-01
5.20949984e+00	7.86382730e-01
5.21049976e+00	7.78924520e-01
5.21150017e+00	7.57112740e-01
5.21250010e+00	7.19146670e-01
5.21350002e+00	6.84759620e-01
5.21449995e+00	7.06204180e-01
5.21549988e+00	7.49138950e-01
5.21649981e+00	7.75744140e-01
5.21750021e+00	7.97814370e-01
5.21850014e+00	8.15814970e-01
5.21950102e+00	8.22312650e-01
5.22049999e+00	8.31275340e-01
5.22149992e+00	8.43581140e-01
5.22249985e+00	8.47415150e-01
5.22349977e+00	8.55727610e-01
5.22450018e+00	8.67480040e-01
5.22550011e+00	8.72646090e-01
5.22650099e+00	8.76076940e-01
5.22749996e+00	8.81398680e-01
5.22849989e+00	8.81558420e-01
5.22949982e+00	8.72145060e-01
5.23050022e+00	8.54519550e-01
5.23150015e+00	8.39591860e-01
5.23250008e+00	8.29023000e-01
5.23350000e+00	8.06822660e-01
5.23449993e+00	7.71531220e-01
5.23549986e+00	7.42067750e-01
5.23649979e+00	7.56862760e-01
5.23750019e+00	7.91181980e-01
5.23850012e+00	8.08148210e-01
5.23950100e+00	8.01585140e-01
5.24049997e+00	7.77274610e-01
5.24149990e+00	7.71562990e-01
5.24249983e+00	8.00944630e-01
5.24350023e+00	8.31960020e-01
5.24450016e+00	8.53838210e-01
5.24550104e+00	8.65799490e-01
5.24650002e+00	8.76074610e-01
5.24749994e+00	8.75500380e-01
5.24849987e+00	8.57412520e-01
5.24949980e+00	8.22824600e-01
5.25050020e+00	7.98662660e-01
5.25150013e+00	8.03929210e-01
5.25250101e+00	8.36682560e-01
5.25349998e+00	8.69036670e-01
5.25449991e+00	8.83984740e-01
5.25549984e+00	8.89979300e-01
5.25649977e+00	8.86392000e-01
5.25750017e+00	8.79390600e-01
5.25850010e+00	8.78040550e-01
5.25950098e+00	8.86844280e-01
5.26049995e+00	8.79443110e-01
5.26149988e+00	8.78337920e-01
5.26249981e+00	8.67185000e-01
5.26350021e+00	8.19966670e-01
5.26450014e+00	8.09135970e-01
5.26550007e+00	8.41362830e-01
5.26650000e+00	8.61098830e-01
5.26749992e+00	8.59182300e-01
5.26849985e+00	8.42308820e-01
5.26949978e+00	8.26514240e-01
5.27050018e+00	8.19502830e-01
5.27150011e+00	8.05688140e-01
5.27250099e+00	7.84786580e-01
5.27349997e+00	7.58432750e-01
5.27449989e+00	7.45138880e-01
5.27549982e+00	7.23856510e-01
5.27650023e+00	7.07140270e-01
5.27750015e+00	7.28193940e-01
5.27850103e+00	7.52841530e-01
5.27950001e+00	7.51368580e-01
5.28049994e+00	7.41513730e-01
5.28149986e+00	7.65431520e-01
5.28249979e+00	7.78174580e-01
5.28350019e+00	7.71029170e-01
5.28450012e+00	7.57458570e-01
5.28550100e+00	7.54973170e-01
5.28649998e+00	7.42092910e-01
5.28749990e+00	7.40868510e-01
5.28849983e+00	7.35899570e-01
5.28950024e+00	7.22010610e-01
5.29050016e+00	7.04288540e-01
5.29150009e+00	6.76048280e-01
5.29250002e+00	6.69298710e-01
5.29349995e+00	6.94134240e-01
5.29449987e+00	7.11672780e-01
5.29549980e+00	7.20831330e-01
5.29650021e+00	7.32513790e-01
5.29750013e+00	7.30454090e-01
5.29850101e+00	7.33019830e-01
5.29949999e+00	7.44364020e-01
5.30049992e+00	7.33675000e-01
5.30149984e+00	7.32198180e-01
5.30249977e+00	7.43257880e-01
5.30350018e+00	7.41672280e-01
