# wave (µm)	R (µW cm-2 sr-1 µm-1)
6.92649984e+00	3.63114120e-01
6.92749977e+00	4.25983160e-01
6.92850018e+00	5.02869490e-01
6.92950010e+00	6.51791450e-01
6.93050003e+00	8.84833400e-01
6.93149996e+00	9.73320420e-01
6.93249989e+00	8.62830820e-01
6.93349981e+00	7.39553750e-01
6.93450022e+00	6.87185350e-01
6.93550014e+00	5.38514850e-01
6.93650007e+00	4.10240740e-01
6.93750000e+00	3.93748610e-01
6.93849993e+00	5.70737360e-01
6.93949986e+00	7.82428980e-01
6.94049978e+00	6.45149050e-01
6.94150019e+00	3.72497200e-01
6.94250011e+00	3.64850520e-01
6.94350004e+00	4.69583030e-01
6.94449997e+00	5.72390910e-01
6.94549990e+00	5.41541990e-01
6.94649982e+00	4.50563400e-01
6.94750023e+00	4.50212930e-01
6.94850016e+00	6.58923860e-01
6.94950008e+00	1.04835700e+00
6.95050001e+00	1.28187540e+00
6.95149994e+00	1.23487020e+00
6.95249987e+00	1.13748980e+00
6.95349979e+00	1.08427820e+00
6.95450020e+00	1.11844720e+00
6.95550013e+00	1.12562300e+00
6.95650005e+00	8.92387030e-01
6.95749998e+00	5.73747580e-01
6.95849991e+00	5.77832820e-01
6.95949984e+00	6.17952640e-01
6.96049976e+00	4.87534520e-01
6.96150017e+00	4.65668140e-01
6.96250010e+00	5.41474100e-01
6.96350002e+00	5.48567410e-01
6.96449995e+00	4.90122020e-01
6.96549988e+00	5.55006920e-01
6.96649981e+00	6.79829900e-01
6.96750021e+00	6.70311630e-01
6.96850014e+00	5.25547920e-01
6.96950006e+00	4.43071960e-01
6.97049999e+00	5.37460330e-01
6.97149992e+00	6.98917870e-01
6.97249985e+00	6.39970000e-01
6.97349977e+00	4.77075670e-01
6.97450018e+00	4.03704610e-01
6.97550011e+00	3.92947320e-01
6.97650003e+00	6.22766610e-01
6.97749996e+00	7.70956280e-01
6.97849989e+00	6.40607180e-01
6.97949982e+00	6.53960760e-01
6.98050022e+00	8.27483300e-01
6.98150015e+00	1.09163070e+00
6.98250008e+00	1.30857440e+00
6.98350000e+00	1.36261480e+00
6.98449993e+00	1.21208370e+00
6.98549986e+00	8.31426860e-01
6.98649979e+00	5.76532360e-01
6.98750019e+00	9.62775770e-01
6.98850012e+00	1.57642980e+00
6.98950005e+00	1.63789650e+00
6.99049997e+00	1.39027430e+00
6.99149990e+00	1.54790270e+00
6.99249983e+00	1.98768270e+00
6.99350023e+00	2.15376160e+00
6.99450016e+00	2.08380600e+00
6.99550009e+00	1.55279060e+00
6.99650002e+00	9.18132780e-01
6.99749994e+00	6.26468360e-01
6.99849987e+00	5.84387360e-01
6.99949980e+00	9.21578230e-01
7.00050020e+00	1.53141160e+00
7.00150013e+00	1.79529430e+00
7.00250006e+00	1.57408620e+00
7.00349998e+00	1.10635150e+00
7.00449991e+00	5.94730730e-01
7.00549984e+00	4.09132900e-01
7.00649977e+00	5.05392550e-01
7.00750017e+00	7.23040100e-01
7.00850010e+00	7.41716500e-01
7.00950003e+00	7.39562750e-01
7.01049995e+00	7.26563270e-01
7.01149988e+00	5.79785110e-01
7.01249981e+00	5.91552560e-01
7.01350021e+00	7.22772780e-01
7.01450014e+00	6.30959210e-01
7.01550007e+00	5.28191980e-01
7.01650000e+00	6.84661090e-01
7.01749992e+00	9.01231290e-01
7.01849985e+00	9.16936280e-01
7.01949978e+00	7.27862240e-01
7.02050018e+00	4.85777380e-01
7.02150011e+00	3.68524550e-01
7.02250004e+00	3.54521130e-01
7.02349997e+00	3.55154190e-01
7.02449989e+00	3.66249740e-01
7.02549982e+00	3.40167110e-01
7.02650023e+00	2.35462410e-01
7.02750015e+00	2.54245310e-01
7.02850008e+00	2.94517310e-01
7.02950001e+00	5.14605580e-01
7.03049994e+00	8.51262570e-01
7.03149986e+00	1.11240030e+00
7.03249979e+00	1.40259180e+00
7.03350019e+00	1.60982320e+00
7.03450012e+00	1.36792360e+00
7.03550005e+00	8.28137640e-01
7.03649998e+00	5.85484680e-01
7.03749990e+00	6.89977880e-01
7.03849983e+00	9.57076970e-01
7.03950024e+00	1.20727800e+00
7.04050016e+00	1.63648280e+00
7.04150009e+00	2.19566920e+00
7.04250002e+00	2.39568380e+00
7.04349995e+00	2.32202720e+00
7.04449987e+00	1.98527480e+00
7.04549980e+00	1.22709270e+00
7.04650021e+00	7.18670490e-01
7.04750013e+00	7.17221740e-01
7.04850006e+00	8.23195160e-01
7.04949999e+00	8.11530950e-01
7.05049992e+00	8.26025610e-01
7.05149984e+00	1.16320720e+00
7.05249977e+00	1.61483110e+00
7.05350018e+00	1.65051230e+00
7.05450010e+00	1.27928840e+00
7.05550003e+00	7.86073510e-01
7.05649996e+00	4.88636050e-01
7.05749989e+00	3.74907340e-01
7.05849981e+00	3.25600890e-01
7.05950022e+00	3.98756920e-01
7.06050014e+00	4.97621660e-01
7.06150007e+00	6.74321590e-01
7.06250000e+00	1.15422830e+00
7.06349993e+00	1.61003360e+00
7.06449986e+00	1.60291760e+00
7.06549978e+00	1.35136870e+00
7.06650019e+00	1.07365540e+00
7.06750011e+00	1.07973680e+00
7.06850004e+00	1.63613900e+00
7.06949997e+00	2.07312750e+00
7.07049990e+00	2.17727570e+00
7.07149982e+00	2.10656860e+00
7.07250023e+00	1.80242360e+00
7.07350016e+00	1.14685330e+00
7.07450008e+00	5.57044270e-01
7.07550001e+00	3.50727080e-01
7.07649994e+00	3.54014190e-01
7.07749987e+00	3.82790800e-01
7.07849979e+00	3.67219600e-01
7.07950020e+00	4.37930730e-01
7.08050013e+00	5.91090740e-01
7.08150005e+00	5.77788290e-01
7.08249998e+00	4.93488940e-01
7.08349991e+00	6.37233610e-01
7.08449984e+00	7.99342870e-01
7.08549976e+00	7.59978120e-01
7.08650017e+00	6.19102720e-01
7.08750010e+00	4.29884430e-01
7.08850002e+00	3.59420420e-01
7.08949995e+00	3.33533440e-01
7.09049988e+00	3.40874790e-01
7.09149981e+00	3.18464220e-01
7.09250021e+00	3.09707110e-01
7.09350014e+00	5.35542730e-01
7.09450006e+00	8.12426510e-01
7.09549999e+00	7.73188530e-01
7.09649992e+00	6.11579660e-01
7.09749985e+00	8.30266590e-01
7.09849977e+00	1.39744810e+00
7.09950018e+00	1.79762690e+00
7.10050011e+00	1.95717940e+00
7.10150003e+00	1.78760430e+00
7.10249996e+00	1.21445270e+00
7.10349989e+00	6.43474400e-01
7.10449982e+00	4.86907870e-01
7.10550022e+00	7.27422650e-01
7.10650015e+00	1.30753430e+00
7.10750008e+00	1.83427240e+00
7.10850000e+00	2.03637980e+00
7.10949993e+00	2.26770760e+00
7.11049986e+00	2.43807010e+00
7.11149979e+00	2.30947470e+00
7.11250019e+00	1.80545890e+00
7.11350012e+00	1.40942100e+00
7.11450005e+00	1.47150750e+00
