# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.89750004e+00	4.78616100e-02
5.89849997e+00	4.46731410e-02
5.89949989e+00	3.91528080e-02
5.90049982e+00	2.52246060e-02
5.90150023e+00	1.96174350e-02
5.90250015e+00	2.46898420e-02
5.90350008e+00	2.07197870e-02
5.90450001e+00	1.67424010e-02
5.90549994e+00	1.99255480e-02
5.90649986e+00	1.22052910e-02
5.90749979e+00	1.12151500e-02
5.90850019e+00	1.95617230e-02
5.90950012e+00	1.71559380e-02
5.91050005e+00	1.03636610e-02
5.91149998e+00	9.66334620e-03
5.91249990e+00	1.10251630e-02
5.91349983e+00	1.00604970e-02
5.91450024e+00	1.57306770e-02
5.91550016e+00	2.34485120e-02
5.91650009e+00	2.98666150e-02
5.91750002e+00	3.47948560e-02
5.91849995e+00	4.89923020e-02
5.91949987e+00	6.12035920e-02
5.92049980e+00	6.58864300e-02
5.92150021e+00	7.28976950e-02
5.92250013e+00	8.09069050e-02
5.92350006e+00	8.78228100e-02
5.92449999e+00	9.40173860e-02
5.92549992e+00	9.93908790e-02
5.92649984e+00	1.00075070e-01
5.92749977e+00	8.91666560e-02
5.92850018e+00	8.85373060e-02
5.92950010e+00	1.08594410e-01
5.93050003e+00	1.18170370e-01
5.93149996e+00	1.18672270e-01
5.93249989e+00	1.17106220e-01
5.93349981e+00	1.13002830e-01
5.93450022e+00	1.02750540e-01
5.93550014e+00	8.19699540e-02
5.93650007e+00	7.12922590e-02
5.93750000e+00	7.59289340e-02
5.93849993e+00	6.81561750e-02
5.93949986e+00	5.26334490e-02
5.94049978e+00	3.43726580e-02
5.94150019e+00	1.76476740e-02
5.94250011e+00	1.35366890e-02
5.94350004e+00	1.51693060e-02
5.94449997e+00	1.22984200e-02
5.94549990e+00	2.05066840e-02
5.94649982e+00	3.59528880e-02
5.94750023e+00	4.44485100e-02
5.94850016e+00	3.98359750e-02
5.94950008e+00	2.66632380e-02
5.95050001e+00	3.10097370e-02
5.95149994e+00	4.84442600e-02
5.95249987e+00	5.94925880e-02
5.95349979e+00	6.47376250e-02
5.95450020e+00	6.58129980e-02
5.95550013e+00	5.71783820e-02
5.95650005e+00	5.13144250e-02
5.95749998e+00	4.88629750e-02
5.95849991e+00	5.40510160e-02
5.95949984e+00	4.70682610e-02
5.96049976e+00	2.63964250e-02
5.96150017e+00	1.18961730e-02
5.96250010e+00	1.14021150e-02
5.96350002e+00	2.25239040e-02
5.96449995e+00	1.84570590e-02
5.96549988e+00	9.58019500e-03
5.96649981e+00	1.64130220e-02
5.96750021e+00	3.00321430e-02
5.96850014e+00	4.29558460e-02
5.96950006e+00	5.36657310e-02
5.97049999e+00	5.87336310e-02
5.97149992e+00	5.79852390e-02
5.97249985e+00	7.20474270e-02
5.97349977e+00	8.45644470e-02
5.97450018e+00	8.12969360e-02
5.97550011e+00	7.90964140e-02
5.97650003e+00	8.16914140e-02
5.97749996e+00	7.94795750e-02
5.97849989e+00	6.24427460e-02
5.97949982e+00	4.87883430e-02
5.98050022e+00	3.67428770e-02
5.98150015e+00	2.17690210e-02
5.98250008e+00	2.20013950e-02
5.98350000e+00	2.06985470e-02
5.98449993e+00	3.23685180e-02
5.98549986e+00	5.18531650e-02
5.98649979e+00	5.75255080e-02
5.98750019e+00	6.78856970e-02
5.98850012e+00	8.55982150e-02
5.98950005e+00	9.10904180e-02
5.99049997e+00	8.78733690e-02
5.99149990e+00	7.87330420e-02
5.99249983e+00	6.61008950e-02
5.99350023e+00	5.31574190e-02
5.99450016e+00	4.55252270e-02
5.99550009e+00	4.80550160e-02
5.99650002e+00	3.88721900e-02
5.99749994e+00	1.65532270e-02
5.99849987e+00	2.28183550e-02
5.99949980e+00	4.53586540e-02
6.00050020e+00	4.48082160e-02
6.00150013e+00	4.99792290e-02
6.00250006e+00	7.73895460e-02
6.00349998e+00	1.05193580e-01
6.00449991e+00	8.62155040e-02
6.00549984e+00	7.12375190e-02
6.00649977e+00	8.50120860e-02
6.00750017e+00	9.43036970e-02
6.00850010e+00	9.95647310e-02
6.00950003e+00	1.00606800e-01
6.01049995e+00	9.31644590e-02
6.01149988e+00	7.90699500e-02
6.01249981e+00	7.28778540e-02
6.01350021e+00	6.04365130e-02
6.01450014e+00	4.85876910e-02
6.01550007e+00	3.98984740e-02
6.01650000e+00	2.64121650e-02
6.01749992e+00	1.34235280e-02
6.01849985e+00	9.38271920e-03
6.01949978e+00	9.23607960e-03
6.02050018e+00	1.27312970e-02
6.02150011e+00	2.38694530e-02
6.02250004e+00	3.42210230e-02
6.02349997e+00	4.26252930e-02
6.02449989e+00	4.25781120e-02
6.02549982e+00	2.90517160e-02
6.02650023e+00	1.67980120e-02
6.02750015e+00	1.74537690e-02
6.02850008e+00	1.98028570e-02
6.02950001e+00	3.41428590e-02
6.03049994e+00	4.85030040e-02
6.03149986e+00	5.60653810e-02
6.03249979e+00	5.95632460e-02
6.03350019e+00	4.24546930e-02
6.03450012e+00	2.62424160e-02
6.03550005e+00	4.41608430e-02
6.03649998e+00	8.03789870e-02
6.03749990e+00	9.16809660e-02
6.03849983e+00	7.91649890e-02
6.03950024e+00	7.30613170e-02
6.04050016e+00	6.68816940e-02
6.04150009e+00	6.67259170e-02
6.04250002e+00	6.14775640e-02
6.04349995e+00	5.92343470e-02
6.04449987e+00	7.69208520e-02
6.04549980e+00	5.65225070e-02
6.04650021e+00	6.39576910e-02
6.04750013e+00	6.80406540e-02
6.04850006e+00	5.44226620e-02
6.04949999e+00	5.75229560e-02
6.05049992e+00	7.60701750e-02
6.05149984e+00	1.40607670e-01
6.05249977e+00	1.29082750e-01
6.05350018e+00	6.89181980e-02
6.05450010e+00	5.37681730e-02
6.05550003e+00	5.17946480e-02
6.05649996e+00	7.02637430e-02
6.05749989e+00	9.03111620e-02
6.05849981e+00	7.89164300e-02
6.05950022e+00	4.65830640e-02
6.06050014e+00	2.94812020e-02
6.06150007e+00	2.92927180e-02
6.06250000e+00	4.47918660e-02
6.06349993e+00	6.84905130e-02
6.06449986e+00	6.92574310e-02
6.06549978e+00	6.08180800e-02
6.06650019e+00	4.72456110e-02
6.06750011e+00	3.75780840e-02
6.06850004e+00	4.25792450e-02
6.06949997e+00	3.33390790e-02
6.07049990e+00	2.46475230e-02
6.07149982e+00	2.42322350e-02
6.07250023e+00	1.64311440e-02
6.07350016e+00	1.01590180e-02
6.07450008e+00	1.43575040e-02
6.07550001e+00	1.77375060e-02
6.07649994e+00	1.74656770e-02
6.07749987e+00	2.68501970e-02
6.07849979e+00	7.99452740e-02
6.07950020e+00	1.14532280e-01
6.08050013e+00	7.31060800e-02
6.08150005e+00	8.11930520e-02
6.08249998e+00	5.62344420e-02
6.08349991e+00	4.40380460e-02
6.08449984e+00	4.77095360e-02
6.08549976e+00	6.22029080e-02
6.08650017e+00	3.46612480e-02
6.08750010e+00	2.96076760e-02
6.08850002e+00	2.81464570e-02
6.08949995e+00	2.05435080e-02
6.09049988e+00	2.73712670e-02
6.09149981e+00	4.01149430e-02
6.09250021e+00	6.56258170e-02
6.09350014e+00	4.35579010e-02
6.09450006e+00	1.67358330e-02
6.09549999e+00	1.32731530e-02
6.09649992e+00	1.31802280e-02
6.09749985e+00	2.16155980e-02
6.09849977e+00	5.41601780e-02
6.09950018e+00	1.39679630e-01
6.10050011e+00	1.06801140e-01
6.10150003e+00	3.70666870e-02
6.10249996e+00	3.24714560e-02
6.10349989e+00	3.59288640e-02
6.10449982e+00	3.75481990e-02
6.10550022e+00	2.97994020e-02
6.10650015e+00	1.69346910e-02
6.10750008e+00	1.58249770e-02
6.10850000e+00	1.60318300e-02
6.10949993e+00	2.02780030e-02
6.11049986e+00	3.23011500e-02
6.11149979e+00	3.12861800e-02
6.11250019e+00	1.92190970e-02
6.11350012e+00	1.45927720e-02
6.11450005e+00	1.42688350e-02
6.11549997e+00	2.40614530e-02
6.11649990e+00	4.11719310e-02
6.11749983e+00	4.79240600e-02
6.11850023e+00	3.76159400e-02
6.11950016e+00	2.43993530e-02
6.12050009e+00	5.02146780e-02
6.12150002e+00	1.06833170e-01
6.12249994e+00	1.01078250e-01
6.12349987e+00	7.72284420e-02
6.12449980e+00	3.37538090e-02
6.12550020e+00	3.32087240e-02
6.12650013e+00	6.85047280e-02
6.12750006e+00	6.43581150e-02
6.12849998e+00	2.38529690e-02
6.12949991e+00	1.48221730e-02
6.13049984e+00	1.57504340e-02
6.13149977e+00	1.51450250e-02
6.13250017e+00	3.31554520e-02
6.13350010e+00	6.02218430e-02
6.13450003e+00	3.87265120e-02
6.13549995e+00	3.83698940e-02
6.13649988e+00	3.90964780e-02
6.13749981e+00	2.91177020e-02
6.13850021e+00	2.86271260e-02
6.13950014e+00	3.54992340e-02
6.14050007e+00	3.47742070e-02
6.14150000e+00	2.81830360e-02
6.14249992e+00	1.73252340e-02
6.14349985e+00	1.45401080e-02
6.14449978e+00	1.24390910e-02
6.14550018e+00	1.47691870e-02
6.14650011e+00	5.68181690e-02
6.14750004e+00	1.59064080e-01
6.14849997e+00	1.20764520e-01
6.14949989e+00	3.16744330e-02
6.15049982e+00	1.30683840e-02
6.15150023e+00	8.89891940e-03
6.15250015e+00	9.34144580e-03
6.15350008e+00	1.23678830e-02
6.15450001e+00	1.45082230e-02
6.15549994e+00	1.88538120e-02
6.15649986e+00	1.86920630e-02
6.15749979e+00	1.65607280e-02
6.15850019e+00	1.90142990e-02
6.15950012e+00	1.64169180e-02
6.16050005e+00	1.55938170e-02
6.16149998e+00	1.82728970e-02
6.16249990e+00	1.58033020e-02
6.16349983e+00	4.95075880e-02
6.16450024e+00	1.21857230e-01
6.16550016e+00	1.34279040e-01
6.16650009e+00	5.89025840e-02
6.16750002e+00	2.42578550e-02
6.16849995e+00	7.29059880e-02
6.16949987e+00	7.47808220e-02
6.17049980e+00	2.84091480e-02
6.17150021e+00	2.68105900e-02
6.17250013e+00	2.53548990e-02
6.17350006e+00	3.74739620e-02
6.17449999e+00	9.60611700e-02
6.17549992e+00	6.19746740e-02
6.17649984e+00	2.82449330e-02
6.17749977e+00	2.40429990e-02
6.17850018e+00	2.45806930e-02
6.17950010e+00	3.53115280e-02
6.18050003e+00	3.23542360e-02
6.18149996e+00	2.07377820e-02
6.18249989e+00	2.13247590e-02
6.18349981e+00	1.99170090e-02
6.18450022e+00	1.46266320e-02
6.18550014e+00	1.94332340e-02
6.18650007e+00	2.12116950e-02
6.18750000e+00	2.61001480e-02
6.18849993e+00	4.50753530e-02
6.18949986e+00	6.06100970e-02
6.19049978e+00	6.49962200e-02
6.19150019e+00	5.76983130e-02
6.19250011e+00	3.94642500e-02
6.19350004e+00	3.47294170e-02
6.19449997e+00	9.33519530e-02
6.19549990e+00	1.45797860e-01
6.19649982e+00	7.60368480e-02
6.19750023e+00	2.57150640e-02
6.19850016e+00	1.78357010e-02
6.19950008e+00	2.42604930e-02
6.20050001e+00	2.65230930e-02
6.20149994e+00	2.37173510e-02
6.20249987e+00	1.95195600e-02
6.20349979e+00	2.91541240e-02
6.20450020e+00	3.55777290e-02
6.20550013e+00	2.83662880e-02
6.20650005e+00	5.03048860e-02
6.20749998e+00	1.61435920e-01
6.20849991e+00	1.84027720e-01
6.20949984e+00	9.69098510e-02
6.21049976e+00	1.28024710e-01
6.21150017e+00	1.42003510e-01
6.21250010e+00	5.67639210e-02
6.21350002e+00	2.19322220e-02
6.21449995e+00	2.19527820e-02
6.21549988e+00	5.44682520e-02
6.21649981e+00	1.04953510e-01
6.21750021e+00	5.98303820e-02
6.21850014e+00	4.29331810e-02
6.21950006e+00	5.06366010e-02
6.22049999e+00	4.07049130e-02
6.22149992e+00	5.63601630e-02
6.22249985e+00	9.15443230e-02
6.22349977e+00	1.08157050e-01
6.22450018e+00	9.30660670e-02
6.22550011e+00	7.07238390e-02
6.22650003e+00	6.74127640e-02
6.22749996e+00	8.41567290e-02
6.22849989e+00	1.03123990e-01
6.22949982e+00	1.05016210e-01
6.23050022e+00	7.46336060e-02
6.23150015e+00	5.78282400e-02
6.23250008e+00	9.58814770e-02
6.23350000e+00	1.42608230e-01
6.23449993e+00	1.70284900e-01
6.23549986e+00	1.77029640e-01
6.23649979e+00	1.59529000e-01
6.23750019e+00	1.19499830e-01
6.23850012e+00	8.22437180e-02
6.23950005e+00	5.54726680e-02
6.24049997e+00	6.04085510e-02
6.24149990e+00	7.28506520e-02
6.24249983e+00	1.16728580e-01
6.24350023e+00	9.74363910e-02
6.24450016e+00	4.87673280e-02
6.24550009e+00	6.19802740e-02
6.24650002e+00	6.17193910e-02
6.24749994e+00	4.32463140e-02
6.24849987e+00	4.68821340e-02
6.24949980e+00	4.79873270e-02
6.25050020e+00	4.54633310e-02
6.25150013e+00	1.16184190e-01
6.25250006e+00	1.29321130e-01
6.25349998e+00	1.22418610e-01
6.25449991e+00	9.48325400e-02
6.25549984e+00	4.94138560e-02
6.25649977e+00	4.23081480e-02
6.25750017e+00	4.95259870e-02
6.25850010e+00	1.09778470e-01
6.25950003e+00	7.65512140e-02
6.26049995e+00	4.26303110e-02
6.26149988e+00	4.99119830e-02
6.26249981e+00	3.72765030e-02
6.26350021e+00	3.27898300e-02
6.26450014e+00	3.52677290e-02
6.26550007e+00	3.25296300e-02
6.26650000e+00	3.95864620e-02
6.26749992e+00	3.63530670e-02
6.26849985e+00	2.19150320e-02
6.26949978e+00	1.23641670e-02
6.27050018e+00	1.43014170e-02
6.27150011e+00	2.80125360e-02
6.27250004e+00	4.66444340e-02
6.27349997e+00	6.24615250e-02
6.27449989e+00	6.88949230e-02
6.27549982e+00	6.18683770e-02
6.27650023e+00	4.62270790e-02
6.27750015e+00	5.65700640e-02
6.27850008e+00	7.79868660e-02
6.27950001e+00	8.06038750e-02
6.28049994e+00	8.19671010e-02
6.28149986e+00	8.32677780e-02
6.28249979e+00	7.07862000e-02
6.28350019e+00	4.72643260e-02
6.28450012e+00	2.46758760e-02
6.28550005e+00	1.63363670e-02
6.28649998e+00	1.77283100e-02
6.28749990e+00	2.61863000e-02
6.28849983e+00	3.81720770e-02
6.28950024e+00	1.12301290e-01
6.29050016e+00	1.46307590e-01
6.29150009e+00	5.32292020e-02
6.29250002e+00	3.35859880e-02
6.29349995e+00	3.54825300e-02
6.29449987e+00	3.39085460e-02
6.29549980e+00	8.02839550e-02
6.29650021e+00	1.32394110e-01
6.29750013e+00	1.58974440e-01
6.29850006e+00	8.47375690e-02
6.29949999e+00	2.51207350e-02
6.30049992e+00	5.26369850e-02
6.30149984e+00	1.03611000e-01
6.30249977e+00	5.21167960e-02
6.30350018e+00	3.89271230e-02
6.30450010e+00	6.03955570e-02
6.30550003e+00	8.98578090e-02
6.30649996e+00	1.18407760e-01
6.30749989e+00	1.37885050e-01
6.30849981e+00	1.45598050e-01
6.30950022e+00	1.27441850e-01
6.31050014e+00	9.85675160e-02
6.31150007e+00	1.15657780e-01
6.31250000e+00	1.56009730e-01
6.31349993e+00	1.79381950e-01
6.31449986e+00	1.87229010e-01
6.31549978e+00	1.85567800e-01
6.31650019e+00	1.76968320e-01
6.31750011e+00	1.65170570e-01
6.31850004e+00	1.56115950e-01
6.31949997e+00	1.39491780e-01
6.32049990e+00	1.20133880e-01
6.32149982e+00	1.12423110e-01
6.32250023e+00	1.06563100e-01
